5,"
Fw: [閒聊] 天線寶寶官方推特預告本周將有比特幣大事！
",ECZEMA, 4/01
15,"
[Defi] Crypto.com Mainnet Staking Pool
",kckai, 4/01
15,"
[Coin] monero 門羅幣
",Ashaku, 4/01
4,"
[新聞] 星巴克、Best Buy 也支援！Bakkt 推出加
",sunsand, 4/01
16,"
[新聞] AV女優「上原亞衣 NFT」轉手賣 40 萬鎂：
",joug, 4/01
5,"
Re: [Defi] Crypto.com Mainnet Staking Pool
",yyhsiu, 4/01
16,"
[閒聊] 虛擬貨幣的漲跌真的毫無根據嗎？
",a88241050, 4/02
16,"
Re: [閒聊] 虛擬貨幣的漲跌真的毫無根據嗎？
",sunsand, 4/02
5,"
[新聞] SEC准了！加密貨幣交易所Coinbase月中直
",joug, 4/02
5,"
Re: [閒聊] 虛擬貨幣的漲跌真的毫無根據嗎？
",aalluubbaa, 4/03
1,"
Re: [Defi] Crypto.com Mainnet Staking Pool
",aalluubbaa, 4/03
45,"
[交易] MAX交易所提金一直在審核中審核什麼東西
",gt186612, 4/03
9,"
[閒聊] 為何能把以太幣轉到幣安鏈？有風險嗎？
",HelloP, 4/03
11,"
[新聞] Circle, Poloniex須提供「2萬鎂以上交易
",joug, 4/03
2,"
[挖礦] Nicehash非活躍帳戶
",roytiu, 4/03
15,"
[新聞] 華碩算力共享QuantumCloud遭PPT質疑「挖
",joug, 4/04
11,"
[Coin] BTT幣的功用是什麼？
",b777300, 4/05
9,"
Re: [Coin] 有ADA幣的都存放在哪？
",alphard, 4/05
20,"
[閒聊] 中本聰真實身分猜測
",rmp4rmp4bear, 4/05
18,"
[行情] MITH 大哥是對的
",baby79080000, 4/05
16,"
[挖礦] 請問XMRig挖門羅幣的問題
",superdrake, 4/05
19,"
[新聞] 韓國交易所 Bithumb 比特幣「飆破69,000
",joug, 4/06
2,"
[閒聊] 請問這幾種user買法哪個划算呢
",hooo13, 4/06
,"
[挖礦] 風扇控制失效詢問
",diediedgogo, 4/07
28,"
[閒聊] MAX交易所玩TWD還是USDT？
",chengsoul03, 4/07
12,"
[閒聊] 台灣用maicoin和幣拖優劣
",hooo13, 4/08
6,"
[新聞] 比特幣瘋漲 超商代收翻倍增
",joug, 4/08
42,"
[閒聊] 幣安流動性挖礦績效回算
",wpd, 4/09
8,"
Re: [Defi] Crypto.com Mainnet Staking Pool
",meowlike, 4/09
5,"
[挖礦] 新手算力疑問
",TNFcounting, 4/10
7,"
[新聞] PayPal創辦人：比特幣可能成為中國對付
",joug, 4/10
82,"
[閒聊] IOTA也能玩Defi挖礦了?
",Q8i, 4/10
5,"
[閒聊] 幣安手續費
",vv5159357, 4/11
8,"
[交易] 如何驗證交易所的真實性？
",to700929, 4/11
34,"
[閒聊] 幣安幣最近市值暴增，會不會有風險？
",b777300, 4/11
11,"
[新聞] XRP週漲30%、1.49鎂創三年來新高！SEC 
",joug, 4/11
11,"
[新聞] 馬斯克效應延燒！3C品牌跨界賣咖啡 開幕送比特幣湧人潮
",ECZEMA, 4/12
3,"
[閒聊] 求救 metamask找不到iota幣
",wdatlwv, 4/12
11,"
[新聞] 比特幣大漲！桃檢警破獲比特幣挖礦場 隔
",joug, 4/12
5,"
[新聞] 加密貨幣可能消除碳足跡嗎？
",zxcvxx, 4/12
80,"
[閒聊] bnb被割一波，求打醒
",MAILUNSI, 4/12
41,"
Re: [閒聊] 虛擬貨幣的漲跌真的毫無根據嗎？--更新bnb想法
",sunsand, 4/12
19,"
[閒聊] BNB疑問
",WinRoww, 4/13
4,"
[挖礦] 請問hive os如何不接螢幕啟動
",flora11883, 4/13
16,"
[新聞] 十年前「比特幣水龍頭」網站，一天送5BTC
",joug, 4/13
27,"
[行情] BTT還有上漲的趨勢嗎？
",a88241050, 4/13
7,"
[挖礦] 新手小礦工多卡請益
",garyleon, 4/14
,"
[新聞] NFT 公開講座 畫廊協會舉辦
",ioyoiioyoi, 4/14
9,"
[行情] 最近怎麼各種貨幣大噴發？
",ijk77692, 4/14
12,"
Re: [閒聊] bnb被割一波，求打醒
",OlaOlaOlaOla, 4/14
8,"
[新聞] 行政院劃定 5 大虛擬通貨業者，交易所、I
",joug, 4/14
11,"
[交易] 全賣出 VS 套期保值
",meowlike, 4/14
3,"
[Coin] 轉錯鏈問題？
",s93310034, 4/14
16,"
[行情]  DOGE目標usd 1:1美元（生利息問題）
",baby79080000, 4/14
14,"
[交易] 用信用卡（flygo)在Crypto.com刷不過
",HYDE1986, 4/14
9,"
[閒聊] 數位貨幣To The Moon行情閒聊區 04/15
",DarkerDuck, 4/15
9,"
[CeFi] 請問FTX的美金放貸
",ss19, 4/15
25,"
[交易] 有關MAX開戶
",lalapalooza, 4/15
19,"
[新聞] 買比特幣只是為了上漲！鮑爾：加密貨幣是
",joug, 4/15
12,"
[交易] 請益小額買幣方式
",dszaq, 4/15
7,"
[交易] 急！請問bitasset狀況
",memesformula, 4/15
3,"
[Coin] 請問現在coolwallet s 的貨幣兌換功能
",comebaby94, 4/15
25,"
[閒聊] 收集幣圈新聞網站
",IAMPF, 4/15
1,"
[交易] 幣安DeFi挖礦無法鎖倉
",eric820602, 4/16
2,"
Re: [閒聊] noise.cash (發廢文也能賺錢)
",forgetter, 4/16
6,"
[Coin] 幣安轉ACE交易所轉錯鏈問題
",CRAZY800525, 4/16
20,"
[閒聊] 菜雞請益交易所問題
",eeeericlin, 4/16
23,"
[閒聊] 本板人氣紀錄折線圖
",meowlike, 4/16
15,"
[閒聊] TLM (Alien Worlds) 是腫麼了?
",shade820701, 4/16
47,"
[新聞] 狗狗幣0.29美元新高！攻佔第八大、一週大
",joug, 4/16
3,"
[閒聊] 要如何確定幣安帳號有20%返現？
",maxxV3, 4/16
4,"
[挖礦] 請問一個hive os的數字定義
",flora11883, 4/16
12,"
[閒聊] 幣安入金出錯
",Cx1245, 4/16
5,"
Crypto app登不進去
",allen81822, 4/16
100,"
[發錢] 狗狗幣大噴火翻桌不講武德！
",WinRoww, 4/16
9,"
Re: [挖礦] 分享HNT挖礦前期準備研究
",MACD, 4/16
13,"
[閒聊] 關於如何購買狗狗幣
",vv5159357, 4/17
,"
2017年的neo錢包json問題
",sismiku, 4/17
17,"
[閒聊] 會不會哪天虛擬幣能買股票？
",a5413eric, 4/17
3,"
[行情] 昨天一堆小幣噴
",Mosen2887, 4/17
21,"
[閒聊] 小賭怡情大賭興家
",furuta27, 4/17
54,"
[新聞] 狗狗幣1週飆漲300％ 專家警告：小心泡沫
",joug, 4/17
18,"
[閒聊] 想請問這個交易所的真實性(高風險警告)
",maliya, 4/17
17,"
Re: [閒聊] BCH基本面指標
",forgetter, 4/17
12,"
[閒聊] 數寶無法登入?  網站金鑰無效
",ThomasTFS80, 4/18
3,"
[Coin] Unconfirmed Transaction
",wobule, 4/18
4,"
[閒聊] SafePal冷錢包
",dszaq, 4/18
,"
[挖礦] 如何挖狗狗教學
",Diveln, 4/18
7,"
新手買幣請教
",Intension, 4/18
24,"
[閒聊] 幣安交易系統出問題，無法掛買賣
",b777300, 4/18
22,"
[新聞] 比特幣突上演大屠殺 15分鐘內暴跌8000美
",joug, 4/18
7,"
[閒聊] 技術分析
",mimi1020b, 4/18
15,"
[閒聊] 新手問問題幣託
",g318, 4/18
100,"
[閒聊] 狗狗幣跟4/20的關聯性?
",dragonxxx1, 4/19
6,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",ilikeQQ, 4/19
4,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",vulc06mp6, 4/19
2,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",baalism2, 4/19
3,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",rightright2, 4/19
8,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",skcwebb, 4/19
3,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",Mosen2887, 4/19
24,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",thomasyoung, 4/19
12,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",saveme, 4/19
2,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",a31035925a, 4/19
3,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",gomarys, 4/19
7,"
[新聞] 「比特幣、穩定幣是投資工具！」中國央行：正研究監管措施
",sunsand, 4/19
8,"
[閒聊] 新手問題
",jeans520, 4/19
2,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",gt186612, 4/19
4,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",alan14alan, 4/19
3,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",wei19911020, 4/19
10,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",jason789780, 4/19
100,"
[閒聊] 狗狗幣今晚能重回0.4嗎?
",king5206, 4/19
5,"
[閒聊] XRP老四是不是有點丟臉
",musashi023, 4/19
8,"
[新聞] 狗狗幣今年飆逾8000％！2021年漲最兇的10
",joug, 4/19
5,"
[挖礦] Chia 奇亞幣的礦池
",puper, 4/19
45,"
Re: [挖礦] Chia 奇亞幣的礦池
",kme6833291, 4/19
5,"
[閒聊] 我的配備可以挖礦嗎？
",a6000200, 4/19
7,"
[DeFi] Polygon初次使用分享
",mattgene, 4/20
31,"
[閒聊]新手問題:為何各幣漲跌幾乎是同時聯動的?
",baroque3, 4/20
13,"
[閒聊] SmartBCH - BCH智慧合約
",forgetter, 4/20
6,"
[Coin] Dusk network(非財務建議)
",mwl655ms, 4/20
,"
[挖礦] 手機挖礦可行嗎
",a6000200, 4/20
9,"
[交易] 幣安交易失敗但刷卡成功
",ijwyj, 4/20
24,"
[新聞] 還敢玩？狗狗幣市值逾兆 僅約百位大戶控
",joug, 4/20
6,"
[交易] 幣安不給我用信用卡刷
",vilevirgin, 4/20
1,"
Re: [閒聊]新手問題:為何各幣漲跌幾乎是同時聯動的?
",rtoday, 4/20
19,"
[閒聊] 租小套房挖礦可行嗎
",ericeric7178, 4/20
21,"
Re: [挖礦] Chia 奇亞幣的礦池
",a1379, 4/20
25,"
Re: [閒聊] 租小套房挖礦可行嗎
",hn880265, 4/20
9,"
Re: [DeFi] Polygon初次使用分享
",ECZEMA, 4/21
8,"
[新聞] 虛擬資產風險高 8家平台業者7月列管
",dalireal, 4/21
17,"
[交易] 幣安的小數點狗幣怎麼處理？
",Kamikiri, 4/21
55,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",jason789780, 4/21
4,"
[閒聊] 購買100元商品兌換券意思
",g318, 4/21
12,"
[新聞] Venus Pool收提取費用
",sceneryview, 4/21
3,"
[Coin] BNB提款問題？
",s93310034, 4/21
6,"
[新聞] 區塊鏈進行數位轉型 正在改變中國的垂直
",zxcvxx, 4/21
31,"
Re: [閒聊] 狗狗幣跟4/20的關聯性?
",thomasyoung, 4/21
4,"
[新聞] 水管工也瘋炒狗狗幣！彭博：幣圈散戶力量
",joug, 4/21
19,"
[Coin] 想請問幣安錢包轉錢到幣託
",Ogg5566, 4/21
4,"
[挖礦] 來自太陽的狗狗
",wheels, 4/22
11,"
[挖礦] 有人是用高規的主機版 插雙顯示卡挖礦嗎?
",G4321, 4/22
3,"
[挖礦] Chia 自耕農 兩台電腦 耕田問題
",eeeericlin, 4/22
29,"
[行情] 狗狗幣在盤整嗎
",kikiller, 4/22
2,"
[請問]從幣安轉到冷錢包的餘額顯示問題
",ozami, 4/22
3,"
[挖礦] 超頻的幅度
",tucson, 4/22
23,"
Re: [閒聊] 4/22更新bnb想法
",sunsand, 4/22
12,"
[新聞] Chia奇亞幣用硬碟挖礦成新寵 硬碟概念股
",joug, 4/22
4,"
Re: [新聞] Venus Pool收提取費用
",SamuelLuo, 4/22
,"
[交易] 關於提取
",lalapalooza, 4/22
2,"
[挖礦] ROG X470-F 挖礦設定問題
",yaya7785, 4/22
49,"
[行情] eth又快回去了怎沒有新聞?
",aixiiae2005, 4/22
1,"
[閒聊] eobot要關閉的事情有人follow到？
",new2smart7, 4/22
13,"
[閒聊]傳統銀行會忌諱要做加密貨幣投資的客戶嗎
",baroque3, 4/23
6,"
[挖礦] 請問時間電價要二段式還是三段式的划算?
",tony711, 4/23
11,"
[挖礦] 請教Chia幣耕田的轉移問題
",overdoingism, 4/23
15,"
[Coin] 穩定幣存放
",forgetter, 4/23
61,"
[Coin] IOTA 1.5P2升級遷移開始啦~
",Q8i, 4/23
13,"
[請問]幣安信用卡買幣上限
",windpeace, 4/23
24,"
[行情] 比特幣崩盤？？
",G4321, 4/23
22,"
[交易]  套利分享
",pqoiwe, 4/23
34,"
[新聞] 美33歲男子砸身家買狗狗幣 現成百萬美元
",joug, 4/23
16,"
[行情] 近日大跌原因探討，波動中如何求存?
",s1034769, 4/23
27,"
[支付] 第一槍!比特幣可以買房了
",yhwilo, 4/23
4,"
[挖礦] win10安全性災情
",rmp4rmp4bear, 4/23
,"
[公告] G4321發文未滿30字，警告一次，板規宣導
",DarkerDuck, 4/23
8,"
[行情] Altseason.
",OlaOlaOlaOla, 4/24
